昆蟲生物,出現位置,出沒月份,出沒時間,售價,圖片網址
白粉蝶,綠地 飛行,3~12,4~19,160,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E7%99%BD%E7%B2%89%E8%9D%B6.png
斑緣點粉蝶,綠地 飛行,9~12 3~4,4~19,160,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E6%96%91%E7%B7%A3%E9%BB%9E%E7%B2%89%E8%9D%B6.png
鳳蝶,綠地 飛行,3~9,4~19,240,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E9%B3%B3%E8%9D%B6.png
烏鴉鳳蝶,綠地 飛行,9~12,4~19,2500,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E7%83%8F%E9%B4%89%E9%B3%B3%E8%9D%B6.png
青帶鳳蝶,綠地 飛行,2~10,4~20,300,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E9%9D%92%E5%B8%B6%E9%B3%B3%E8%9D%B6.png
大白斑蝶,綠地 飛行,全年,8~19,1000,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E5%A4%A7%E7%99%BD%E6%96%91%E8%9D%B6.png
大紫蛺蝶,綠地 飛行,11~2,4~19,3000,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E5%A4%A7%E7%B4%AB%E8%9B%BA%E8%9D%B6.png
大樺斑蝶,綠地 飛行,3~5,4~17,140,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E5%A4%A7%E6%A8%BA%E6%96%91%E8%9D%B6.png
大藍閃蝶,綠地 飛行,6~9 12~3,19~8,4000,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E5%A4%A7%E8%97%8D%E9%96%83%E8%9D%B6.png
彩襖蛺蝶,綠地 飛行,3~10,8~17,3000,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E5%BD%A9%E8%A5%96%E8%9B%BA%E8%9D%B6.png
紅頸鳳蝶,綠地 飛行,3~6,8~17,2500,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E7%B4%85%E9%A0%B8%E9%B3%B3%E8%9D%B6.png
亞歷山大 鳳蝶,綠地 飛行,3~11,8~16,4000,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E4%BA%9E%E6%AD%B7%E5%B1%B1%E5%A4%A7%E9%B3%B3%E8%9D%B6.png
飛蛾,戶外 燈光附近,全年,19~4,130,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E9%A3%9B%E8%9B%BE.png
皇蛾,樹幹,3~10,19~4,3000,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E7%9A%87%E8%9B%BE.png
日落蛾,綠地 飛行,3~10,8~16,2500,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E6%97%A5%E8%90%BD%E8%9B%BE.png
中華劍角蝗,草地,5~10,8~19,200,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E4%B8%AD%E8%8F%AF%E5%8A%8D%E8%A7%92%E8%9D%97.png
飛蝗,草地,2~5,8~19,600,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E9%A3%9B%E8%9D%97.png
稻蝗,草地,2~5,8~19,400,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E7%A8%BB%E8%9D%97.png
蚱蜢,草地,1~3,8~17,160,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E8%9A%B1%E8%9C%A2.png
蟋蟀,草地,3~5,17~8,130,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E8%9F%8B%E8%9F%80.png
鈴蟲,草地,3~4,17~8,430,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E9%88%B4%E8%9F%B2.png
螳螂,花朵上 會逃走,5~9,8~17,430,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E8%9E%B3%E8%9E%82.png
蘭花螳螂,花朵上 會逃走,5~9,8~17,2400,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E8%98%AD%E8%8A%B1%E8%9E%B3%E8%9E%82.png
蜜蜂,花叢,1~9,8~17,200,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E8%9C%9C%E8%9C%82.png
黃蜂,搖晃樹幹 落下,全年,全天,2500,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E9%BB%83%E8%9C%82.png
油蟬,樹幹,1~2,8~17,250,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E6%B2%B9%E8%9F%AC.png
斑透翅蟬,樹幹,1~2,8~17,300,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E6%96%91%E9%80%8F%E7%BF%85%E8%9F%AC.png
熊蟬,樹幹,1~2,8~17,500,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E7%86%8A%E8%9F%AC.png
寒蟬,樹幹,2~3,8~17,400,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E5%AF%92%E8%9F%AC.png
暮蟬,樹幹,1~2,4~8 16~19,550,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E6%9A%AE%E8%9F%AC.png
蟬蛻,樹幹,1~2,全天,10,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E8%9F%AC%E8%9B%BB.png
紅蜻蜓,水邊,3~4,8~19,180,https://i0.wp.com/kkplay3c.net/wp-content/uploads/Gina/game/animal/table/%E7%B4%85%E8%9C%BB%E8%9C%93.png
