海洋生物,出沒月份,出沒時間,售價,圖片網址
裙帶菜,7~10,全天,600,https://kkplay3c.net//Gina/game/animal/table/裙帶菜.png
海葡萄,6~9,全天,900,https://kkplay3c.net//Gina/game/animal/table/海葡萄.png
海參,11~4,全天,500,https://kkplay3c.net/Gina/game/animal/table/海參.png
海豬,11~2,16~9,10000,https://kkplay3c.net/Gina/game/animal/table/海豬.png
海星,全年,全天,500,https://kkplay3c.net/Gina/game/animal/table/海星.png
海膽,5~9,全天,1700,https://kkplay3c.net/Gina/game/animal/table/海膽.png
石筆海膽,5~9,16~9,2000,https://kkplay3c.net/Gina/game/animal/table/石筆海膽.png
海葵,全年,全天,500,https://kkplay3c.net/Gina/game/animal/table/海葵.png
海月水母,7~9,全天,600,https://kkplay3c.net/Gina/game/animal/table/海月水母.png
海蛞蝓,全年,全天,600,https://kkplay3c.net/Gina/game/animal/table/海蛞蝓.png
珠母蛤,全年,全天,2800,https://kkplay3c.net/Gina/game/animal/table/珠母蛤.png
貽貝,6~12,全天,1500,https://kkplay3c.net/Gina/game/animal/table/貽貝.png
牡蠣,9~2,全天,1100,https://kkplay3c.net//Gina/game/animal/table/牡蠣.png
帆立貝,全年,全天,1200,https://kkplay3c.net/Gina/game/animal/table/帆立貝.png
峨螺,全年,全天,1000,https://kkplay3c.net//Gina/game/animal/table/峨螺.png
角蠑螺,3~5,9~12,全天,1000,https://kkplay3c.net/Gina/game/animal/table/角蠑螺.png
鮑魚,6~1,16~9,2000,https://kkplay3c.net//Gina/game/animal/table/鮑魚.png
大硨磲,5~9,全天,15000,https://kkplay3c.net/Gina/game/animal/table/大硨磲.png
鸚鵡螺,3~6 9~11,16~9,1800,https://kkplay3c.net//Gina/game/animal/table/鸚鵡螺.png
章魚,全年,全天,1200,https://kkplay3c.net//Gina/game/animal/table/章魚.png
扁面蛸,3~5 9~11,全天,6000,https://kkplay3c.net//Gina/game/animal/table/扁面蛸.png
吸血烏賊,5~8,16~9,10000,https://kkplay3c.net/Gina/game/animal/table/吸血烏賊.png
螢火魷,3~6,21~4,1400,https://kkplay3c.net//Gina/game/animal/table/螢火魷.png
三疣梭子蟹,6~11,全天,2200,https://kkplay3c.net/Gina/game/animal/table/三疣梭子蟹.png
首長黃道蟹,11~5,全天,1900,https://kkplay3c.net//Gina/game/animal/table/首長黃道蟹.png
松葉蟹,11~4,全天,6000,https://kkplay3c.net/Gina/game/animal/table/松葉蟹.png
藤壺,全年,全天,600,https://kkplay3c.net/Gina/game/animal/table/藤壺.png
高腳蟹,3~4,全天,12000,https://kkplay3c.net/Gina/game/animal/table/高腳蟹.png
鱈場蟹,11~3,全天,8000,https://kkplay3c.net/Gina/game/animal/table/鱈場蟹.png
日本囊對蝦,6~9,16~9,3000,https://kkplay3c.net/Gina/game/animal/table/日本囊對蝦.png
甜蝦,9~2,16~9,1400,https://kkplay3c.net/Gina/game/animal/table/甜蝦.png
蝦蛄,全年,16~9,2500,https://kkplay3c.net/Gina/game/animal/table/蝦蛄.png
伊勢龍蝦,10~12,21~4,5000,https://kkplay3c.net//Gina/game/animal/table/伊勢龍蝦.png
螯龍蝦,12~1 4~6,全天,4500,https://kkplay3c.net//Gina/game/animal/table/螯龍蝦.png
大王具足蟲,7~10,21~4 9~16,12000,https://kkplay3c.net//Gina/game/animal/table/大王具足蟲.png
鱟,7~9,21~4,2500,https://kkplay3c.net//Gina/game/animal/table/鱟.png
海鞘,4~8,全天,1500,https://kkplay3c.net/Gina/game/animal/table/海鞘.png
花園鰻,5~10,4~21,1100,https://kkplay3c.net/Gina/game/animal/table/花園鰻.png
海扁蟲,8~9,16~9,700,https://kkplay3c.net//Gina/game/animal/table/海扁蟲.png
偕老同穴,10~2,全天,5000,https://kkplay3c.net/Gina/game/animal/table/偕老同穴.png
