魚種,出沒月份,出沒時間,售價,圖片網址
蝌蚪,3~7,全天,100,https://kkplay3c.net/Gina/game/animal/table/蝌蚪.png
青蛙,5~8,全天,120,https://kkplay3c.net/Gina/game/animal/table/青蛙.png
竹莢魚,全年,全天,150,https://kkplay3c.net/Gina/game/animal/table/竹莢魚.png
鯽魚,全年,全天,160,https://kkplay3c.net/Gina/game/animal/table/鯽魚.png
藍腮太陽魚,全年,9~16,180,https://kkplay3c.net/Gina/game/animal/table/藍鰓太陽魚.png
鳳尾魚,全年,4~21,200,https://kkplay3c.net/Gina/game/animal/table/鳳尾魚.png
淡水龍蝦,4~9,全天,200,https://kkplay3c.net/Gina/game/animal/table/淡水龍蝦.png
溪哥,全年,9~16,200,https://kkplay3c.net/Gina/game/animal/table/溪哥.png
珠星三塊魚,全年,9~16,240,https://kkplay3c.net/Gina/game/animal/table/珠星三塊魚.png
刺河豚,7~9,全天,250,https://kkplay3c.net/Gina/game/animal/table/刺河豚.png
鰈魚,10~4,全天,300,https://kkplay3c.net/Gina/game/animal/table/鰈魚.png
鯉魚,全年,全天,300,https://kkplay3c.net/Gina/game/animal/table/鯉魚.png
稻田魚,4~8,全天,300,https://kkplay3c.net/Gina/game/animal/table/稻田魚.png
黃鱸魚,10~3,全天,300,https://kkplay3c.net/Gina/game/animal/table/黃鱸魚.png
鱸魚,全年,全天,400,https://kkplay3c.net/Gina/game/animal/table/鱸魚.png
西太公魚,12~2,全天,400,https://kkplay3c.net/Gina/game/animal/table/西太公魚.png
塘鱧魚,全年,16~9,400,https://kkplay3c.net/Gina/game/animal/table/塘鱧魚.png
黑鱸魚,全年,全天,400,https://kkplay3c.net/Gina/game/animal/table/黑鱸魚.png
泥鰍,3~5,全天,400,https://kkplay3c.net/Gina/game/animal/table/泥鰍.png
獅子魚,4~11,全天,500,https://kkplay3c.net/Gina/game/animal/table/獅子魚.png
魷魚,12~8,全天,500,https://kkplay3c.net/Gina/game/animal/table/魷魚.png
霓虹燈魚,4~11,9~16,500,https://kkplay3c.net/Gina/game/animal/table/霓虹燈魚.png
五彩鰻,6~10,全天,600,https://kkplay3c.net/Gina/game/animal/table/五彩鰻.png
小丑魚,4~9,全天,650,https://kkplay3c.net/Gina/game/animal/table/小丑魚.png
鮭魚,9,全天,700,https://kkplay3c.net/Gina/game/animal/table/鮭魚.png
比目魚,全年,全天,800,https://kkplay3c.net/Gina/game/animal/table/比目魚.png
鯰魚,5~10,16~9,800,https://kkplay3c.net/Gina/game/animal/table/鯰魚.png
彩虹魚,5~10,9~16,800,https://kkplay3c.net/Gina/game/animal/table/彩虹魚.png
吳郭魚,6~10,全天,800,https://kkplay3c.net/Gina/game/animal/table/吳郭魚.png
香魚,7~9,全天,900,https://kkplay3c.net/Gina/game/animal/table/香魚.png
紅目鯽,11~3,全天,900,https://kkplay3c.net/Gina/game/animal/table/紅目鯽.png
擬刺尾鯛,4~9,全天,1000,https://kkplay3c.net/Gina/game/animal/table/擬刺尾鯛.png
耳帶蝴蝶魚,4~9,全天,1000,https://kkplay3c.net/Gina/game/animal/table/耳帶蝴蝶魚.png
櫻花鉤吻鮭,3~5 9~11,全天,1000,https://kkplay3c.net/Gina/game/animal/table/櫻花鉤吻鮭.png
海天使,12~3,全天,1100,https://kkplay3c.net/Gina/game/animal/table/海天使.png
海馬,4~11,全天,1100,https://kkplay3c.net/Gina/game/animal/table/海馬.png
金魚,全年,全天,1300,https://kkplay3c.net/Gina/game/animal/table/金魚.png
龍晴金魚,全年,9~16,1300,https://kkplay3c.net/Gina/game/animal/table/龍睛金魚.png
孔雀魚,4~11,9~16,1300,https://kkplay3c.net/Gina/game/animal/table/孔雀魚.png
吸盤魚,6~9,全天,1500,https://kkplay3c.net/Gina/game/animal/table/吸盤魚.png
溫泉醫生魚,5~9,9~16,1500,https://kkplay3c.net/Gina/game/animal/table/溫泉醫生魚.png
